date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,sh.600000,12.4700,5.994733,0.762284,1.915555,-6.071904
2020-01-03,sh.600000,12.6000,6.057229,0.770231,1.935525,-6.135204
2020-01-06,sh.600000,12.4600,5.989926,0.761672,1.914019,-6.067035
2020-01-07,sh.600000,12.5000,6.009155,0.764118,1.920164,-6.086512
2020-01-08,sh.600000,12.3200,5.922624,0.753114,1.892513,-5.998866
2020-01-09,sh.600000,12.3700,5.946660,0.756171,1.900194,-6.023212
2020-01-10,sh.600000,12.3900,5.956275,0.757393,1.903266,-6.032950
2020-01-13,sh.600000,12.4100,5.965890,0.758616,1.906338,-6.042689
2020-01-14,sh.600000,12.4300,5.975504,0.759839,1.909411,-6.052427
2020-01-15,sh.600000,12.2500,5.888972,0.748835,1.881760,-5.964781
2020-01-16,sh.600000,12.2000,5.864936,0.745779,1.874080,-5.940435
2020-01-17,sh.600000,12.2300,5.879358,0.747613,1.878688,-5.955043
2020-01-20,sh.600000,12.2500,5.888972,0.748835,1.881760,-5.964781
2020-01-21,sh.600000,12.0800,5.807248,0.738443,1.855646,-5.882005
2020-01-22,sh.600000,11.7700,5.864338,0.719493,1.811724,-5.731059
2020-01-23,sh.600000,11.3500,5.655075,0.693819,1.747074,-5.526553
2020-02-03,sh.600000,10.4700,5.216620,0.640025,1.611618,-5.098062
2020-02-04,sh.600000,10.6600,5.311286,0.651640,1.640865,-5.190577
2020-02-05,sh.600000,10.7000,5.331216,0.654085,1.647022,-5.210054
2020-02-06,sh.600000,10.7900,5.376058,0.659586,1.660875,-5.253877
2020-02-07,sh.600000,10.8600,5.410935,0.663865,1.671650,-5.287961
2020-02-10,sh.600000,10.7700,5.366093,0.658364,1.657797,-5.244138
2020-02-11,sh.600000,10.8600,5.410935,0.663865,1.671650,-5.287961
2020-02-12,sh.600000,10.8600,5.410935,0.663865,1.671650,-5.287961
2020-02-13,sh.600000,10.7600,5.361111,0.657752,1.656257,-5.239269
2020-02-14,sh.600000,10.8600,5.410935,0.663865,1.671650,-5.287961
2020-02-17,sh.600000,11.1800,5.570373,0.683427,1.720907,-5.443776
2020-02-18,sh.600000,11.0600,5.510584,0.676091,1.702435,-5.385345
2020-02-19,sh.600000,11.1100,5.510584,0.676091,1.702435,-5.385345
2020-02-20,sh.600000,11.2300,5.595285,0.686483,1.728603,-5.468122
2020-02-21,sh.600000,11.3000,5.630163,0.690762,1.739378,-5.502206
2020-02-24,sh.600000,11.1600,5.560408,0.682204,1.717828,-5.434038
2020-02-25,sh.600000,11.0900,5.525531,0.677925,1.707053,-5.399953
2020-02-26,sh.600000,11.2000,5.580338,0.684649,1.723985,-5.453514
2020-02-27,sh.600000,11.2100,5.585321,0.685261,1.725525,-5.458384
2020-02-28,sh.600000,10.8500,5.405953,0.663254,1.670111,-5.283092
2020-03-02,sh.600000,11.0400,5.500619,0.674869,1.699357,-5.375607
2020-03-03,sh.600000,11.0600,5.510584,0.676091,1.702435,-5.385345
2020-03-04,sh.600000,11.0300,5.495637,0.674257,1.697818,-5.370738
2020-03-05,sh.600000,11.3200,5.640127,0.691985,1.742457,-5.511945
2020-03-06,sh.600000,11.1200,5.540479,0.679759,1.711671,-5.414561
2020-03-09,sh.600000,10.7800,5.371075,0.658975,1.659336,-5.249008
2020-03-10,sh.600000,10.8700,5.415917,0.664477,1.673189,-5.292830
2020-03-11,sh.600000,10.7700,5.366093,0.658364,1.657797,-5.244138
2020-03-12,sh.600000,10.6400,5.301321,0.650417,1.637786,-5.180839
2020-03-13,sh.600000,10.7000,5.331216,0.654085,1.647022,-5.210054
2020-03-16,sh.600000,10.5100,5.236549,0.642470,1.617775,-5.117539
2020-03-17,sh.600000,10.4300,5.196690,0.637580,1.605461,-5.078585
2020-03-18,sh.600000,10.2100,5.087076,0.624131,1.571597,-4.971463
2020-03-19,sh.600000,9.9400,4.952550,0.607626,1.530037,-4.839994
2020-03-20,sh.600000,10.0900,5.027287,0.616796,1.553126,-4.913032
2020-03-23,sh.600000,9.8400,4.902726,0.601513,1.514644,-4.791302
2020-03-24,sh.600000,10.0600,5.012339,0.614962,1.548508,-4.898425
2020-03-25,sh.600000,10.1500,5.057181,0.620463,1.562362,-4.942247
2020-03-26,sh.600000,10.2300,5.097041,0.625354,1.574676,-4.981201
2020-03-27,sh.600000,10.2400,5.102023,0.625965,1.576215,-4.986070
2020-03-30,sh.600000,10.2800,5.121953,0.628410,1.582372,-5.005547
2020-03-31,sh.600000,10.1500,5.057181,0.620463,1.562362,-4.942247
2020-04-01,sh.600000,10.0900,5.027287,0.616796,1.553126,-4.913032
2020-04-02,sh.600000,10.2000,5.082094,0.623520,1.570058,-4.966593
2020-04-03,sh.600000,10.1500,5.057181,0.620463,1.562362,-4.942247
2020-04-07,sh.600000,10.2800,5.121953,0.628410,1.582372,-5.005547
2020-04-08,sh.600000,10.2400,5.102023,0.625965,1.576215,-4.986070
2020-04-09,sh.600000,10.2000,5.082094,0.623520,1.570058,-4.966593
2020-04-10,sh.600000,10.2100,5.087076,0.624131,1.571597,-4.971463
2020-04-13,sh.600000,10.1100,5.037252,0.618018,1.556205,-4.922771
2020-04-14,sh.600000,10.2500,5.107006,0.626576,1.577754,-4.990939
2020-04-15,sh.600000,10.1800,5.072129,0.622297,1.566979,-4.956855
2020-04-16,sh.600000,10.1600,5.062164,0.621075,1.563901,-4.947117
2020-04-17,sh.600000,10.2000,5.082094,0.623520,1.570058,-4.966593
2020-04-20,sh.600000,10.1100,5.037252,0.618018,1.556205,-4.922771
2020-04-21,sh.600000,10.0300,4.997392,0.613128,1.543890,-4.883817
2020-04-22,sh.600000,10.0700,5.017322,0.615573,1.550047,-4.903294
2020-04-23,sh.600000,10.0600,5.012339,0.614962,1.548508,-4.898425
2020-04-24,sh.600000,10.0600,5.012339,0.614962,1.548508,-4.898425
2020-04-27,sh.600000,10.3400,5.074156,0.591906,1.548251,16.149657
2020-04-28,sh.600000,10.3300,5.069249,0.591334,1.546753,16.134039
2020-04-29,sh.600000,10.6100,5.206654,0.607362,1.588679,16.571360
2020-04-30,sh.600000,10.6300,5.216468,0.608507,1.591674,16.602597
2020-05-06,sh.600000,10.4600,5.133044,0.598776,1.566219,16.337081
2020-05-07,sh.600000,10.3900,5.098693,0.594768,1.555738,16.227751
2020-05-08,sh.600000,10.4400,5.123229,0.597631,1.563224,16.305844
2020-05-11,sh.600000,10.4300,5.118322,0.597058,1.561727,16.290225
2020-05-12,sh.600000,10.3400,5.074156,0.591906,1.548251,16.149657
2020-05-13,sh.600000,10.3800,5.093786,0.594196,1.554240,16.212132
2020-05-14,sh.600000,10.3000,5.054527,0.589616,1.542261,16.087183
2020-05-15,sh.600000,10.2800,5.044712,0.588472,1.539267,16.055946
2020-05-18,sh.600000,10.3200,5.064342,0.590761,1.545256,16.118420
2020-05-19,sh.600000,10.3500,5.079064,0.592479,1.549748,16.165276
2020-05-20,sh.600000,10.4100,5.108507,0.595913,1.558732,16.258988
2020-05-21,sh.600000,10.3300,5.069249,0.591334,1.546753,16.134039
2020-05-22,sh.600000,10.1400,4.976010,0.580457,1.518304,15.837285
2020-05-25,sh.600000,10.2700,5.039805,0.587899,1.537769,16.040327
2020-05-26,sh.600000,10.2700,5.039805,0.587899,1.537769,16.040327
2020-05-27,sh.600000,10.3500,5.079064,0.592479,1.549748,16.165276
2020-05-28,sh.600000,10.5300,5.167395,0.602783,1.576700,16.446411
2020-05-29,sh.600000,10.5700,5.187024,0.605072,1.582690,16.508886
2020-06-01,sh.600000,10.6500,5.226283,0.609652,1.594668,16.633835
2020-06-02,sh.600000,10.6800,5.241005,0.611369,1.599160,16.680691
2020-06-03,sh.600000,10.7000,5.250819,0.612514,1.602155,16.711928
2020-06-04,sh.600000,10.6400,5.221376,0.609080,1.593171,16.618216
2020-06-05,sh.600000,10.6700,5.236097,0.610797,1.597663,16.665072
2020-06-08,sh.600000,10.6100,5.206654,0.607362,1.588679,16.571360
2020-06-09,sh.600000,10.6800,5.241005,0.611369,1.599160,16.680691
